| Year | Month | India Boxes | Australia Boxes |
| ---- | ----- | ----------- | --------------- |
| 2021 | 1     | 23937       | 25210           |
| 2021 | 2     | 39717       | 27961           |
| 2021 | 3     | 39787       | 28123           |
| 2021 | 4     | 22514       | 35261           |
| 2021 | 5     | 27531       | 32213           |
| 2021 | 6     | 26518       | 29585           |
| 2021 | 7     | 18924       | 29310           |
| 2021 | 8     | 35982       | 33296           |
| 2021 | 9     | 27738       | 24832           |
| 2021 | 10    | 32084       | 33218           |
| 2021 | 11    | 40038       | 36449           |
| 2021 | 12    | 34061       | 32593           |
| 2022 | 1     | 67665       | 66647           |
| 2022 | 2     | 20995       | 21467           |
| 2022 | 3     | 32883       | 26371           |
